unit,unit_type,path,scope,description,exec_start,running_pids,exec_start_pre,exec_stop,user,environment,environment_file,wanted_by,required_by,listen,watch_path,restart,enabled_link
sys-fs-fuse-connections.mount,mount,/lib/systemd/system/sys-fs-fuse-connections.mount,vendor,FUSE Control File System,,,,,,,,,,,,,
sys-kernel-config.mount,mount,/lib/systemd/system/sys-kernel-config.mount,vendor,Kernel Configuration File System,,,,,,,,,,,,,
sys-kernel-debug.mount,mount,/lib/systemd/system/sys-kernel-debug.mount,vendor,Kernel Debug File System,,,,,,,,,,,,,
sysinit.target,target,/lib/systemd/system/sysinit.target,vendor,System Initialization,,,,,,,,,,,,,
syslog.socket,socket,/lib/systemd/system/syslog.socket,vendor,Syslog Socket,,,,,,,,,,/run/systemd/journal/syslog,,,
system-update-cleanup.service,service,/lib/systemd/system/system-update-cleanup.service,vendor,Remove the Offline System Updates symlink,/bin/rm -fv /system-update | /bin/systemctl reboot,,,,,,,,,,,,
system-update.target,target,/lib/systemd/system/system-update.target,vendor,Offline System Update,,,,,,,,,,,,,
system.slice,slice,/lib/systemd/system/system.slice,vendor,System Slice,,,,,,,,,,,,,
systemd-ask-password-console.path,path,/lib/systemd/system/systemd-ask-password-console.path,vendor,Dispatch Password Requests to Console Directory Watch,,,,,,,,,,,/run/systemd/ask-password,,
systemd-ask-password-console.service,service,/lib/systemd/system/systemd-ask-password-console.service,vendor,Dispatch Password Requests to Console,/bin/systemd-tty-ask-password-agent --watch --console,,,,,,,,,,,,
systemd-ask-password-plymouth.path,path,/lib/systemd/system/systemd-ask-password-plymouth.path,vendor,Forward Password Requests to Plymouth Directory Watch,,,,,,,,,,,/run/systemd/ask-password,,
systemd-ask-password-plymouth.service,service,/lib/systemd/system/systemd-ask-password-plymouth.service,vendor,Forward Password Requests to Plymouth,/bin/systemd-tty-ask-password-agent --watch --plymouth,,,,,,,,,,,,
systemd-ask-password-wall.path,path,/lib/systemd/system/systemd-ask-password-wall.path,vendor,Forward Password Requests to Wall Directory Watch,,,,,,,,,,,/run/systemd/ask-password,,
systemd-ask-password-wall.service,service,/lib/systemd/system/systemd-ask-password-wall.service,vendor,Forward Password Requests to Wall,/bin/systemd-tty-ask-password-agent --wall,,-/bin/systemctl stop systemd-ask-password-console.path systemd-ask-password-console.service systemd-ask-password-plymouth.path systemd-ask-password-plymouth.service,,,,,,,,,,
systemd-backlight@.service,service,/lib/systemd/system/systemd-backlight@.service,vendor,Load/Save Screen Backlight Brightness of %i,/lib/systemd/systemd-backlight load %i,,,/lib/systemd/systemd-backlight save %i,,,,,,,,,
systemd-binfmt.service,service,/lib/systemd/system/systemd-binfmt.service,vendor,Set Up Additional Binary Formats,/lib/systemd/systemd-binfmt,,,,,,,,,,,,
systemd-exit.service,service,/lib/systemd/system/systemd-exit.service,vendor,Exit the Session,/bin/systemctl --force exit,,,,,,,,,,,,
systemd-fsck-root.service,service,/lib/systemd/system/systemd-fsck-root.service,vendor,File System Check on Root Device,/lib/systemd/systemd-fsck,,,,,,,,,,,,
systemd-fsck@.service,service,/lib/systemd/system/systemd-fsck@.service,vendor,File System Check on %f,/lib/systemd/systemd-fsck %f,,,,,,,,,,,,
systemd-fsckd.service,service,/lib/systemd/system/systemd-fsckd.service,vendor,File System Check Daemon to report status,/lib/systemd/systemd-fsckd,,,,,,,,,,,,
systemd-fsckd.socket,socket,/lib/systemd/system/systemd-fsckd.socket,vendor,fsck to fsckd communication Socket,,,,,,,,,,/run/systemd/fsck.progress,,,
systemd-halt.service,service,/lib/systemd/system/systemd-halt.service,vendor,Halt,/bin/systemctl --force halt,,,,,,,,,,,,
systemd-hibernate-resume@.service,service,/lib/systemd/system/systemd-hibernate-resume@.service,vendor,Resume from hibernation using device %f,/lib/systemd/systemd-hibernate-resume %f,,,,,,,,,,,,
systemd-hibernate.service,service,/lib/systemd/system/systemd-hibernate.service,vendor,Hibernate,/lib/systemd/systemd-sleep hibernate,,,,,,,,,,,,
systemd-hostnamed.service,service,/lib/systemd/system/systemd-hostnamed.service,vendor,Hostname Service,/lib/systemd/systemd-hostnamed,,,,,,,,,,,,
systemd-hwdb-update.service,service,/lib/systemd/system/systemd-hwdb-update.service,vendor,Rebuild Hardware Database,/bin/systemd-hwdb update,,,,,,,,,,,,
systemd-hybrid-sleep.service,service,/lib/systemd/system/systemd-hybrid-sleep.service,vendor,Hybrid Suspend+Hibernate,/lib/systemd/systemd-sleep hybrid-sleep,,,,,,,,,,,,
systemd-initctl.service,service,/lib/systemd/system/systemd-initctl.service,vendor,/dev/initctl Compatibility Daemon,/lib/systemd/systemd-initctl,,,,,,,,,,,,
systemd-initctl.socket,socket,/lib/systemd/system/systemd-initctl.socket,vendor,/dev/initctl Compatibility Named Pipe,,,,,,,,,,/run/systemd/initctl/fifo,,,
systemd-journal-flush.service,service,/lib/systemd/system/systemd-journal-flush.service,vendor,Flush Journal to Persistent Storage,/bin/journalctl --flush,,,,,,,,,,,,
systemd-journald-audit.socket,socket,/lib/systemd/system/systemd-journald-audit.socket,vendor,Journal Audit Socket,,,,,,,,,,,,,
systemd-journald-dev-log.socket,socket,/lib/systemd/system/systemd-journald-dev-log.socket,vendor,Journal Socket (/dev/log),,,,,,,,,,/run/systemd/journal/dev-log,,,
systemd-journald.service,service,/lib/systemd/system/systemd-journald.service,vendor,Journal Service,/lib/systemd/systemd-journald,27623,,,,,,,,,,always,
systemd-journald.socket,socket,/lib/systemd/system/systemd-journald.socket,vendor,Journal Socket,,,,,,,,,,/run/systemd/journal/stdout | /run/systemd/journal/socket,,,
systemd-kexec.service,service,/lib/systemd/system/systemd-kexec.service,vendor,Reboot via kexec,/bin/systemctl --force kexec,,,,,,,,,,,,
systemd-localed.service,service,/lib/systemd/system/systemd-localed.service,vendor,Locale Service,/lib/systemd/systemd-localed,,,,,,,,,,,,
systemd-logind.service,service,/lib/systemd/system/systemd-logind.service,vendor,Login Service,/lib/systemd/systemd-logind,7900,,,,,,,,,,always,
systemd-machine-id-commit.service,service,/lib/systemd/system/systemd-machine-id-commit.service,vendor,Commit a transient machine-id on disk,/bin/systemd-machine-id-setup --commit,,,,,,,,,,,,
systemd-modules-load.service,service,/lib/systemd/system/systemd-modules-load.service,vendor,Load Kernel Modules,/lib/systemd/systemd-modules-load,,,,,,,,,,,,
systemd-networkd-wait-online.service,service,/lib/systemd/system/systemd-networkd-wait-online.service,vendor,Wait for Network to be Configured,/lib/systemd/systemd-networkd-wait-online,,,,,,,network-online.target,,,,,
systemd-networkd.service,service,/lib/systemd/system/systemd-networkd.service,vendor,Network Service,!!/lib/systemd/systemd-networkd,859,,,systemd-network,,,multi-user.target,,,,on-failure,
systemd-networkd.socket,socket,/lib/systemd/system/systemd-networkd.socket,vendor,Network Service Netlink Socket,,,,,,,,sockets.target,,,,,
systemd-poweroff.service,service,/lib/systemd/system/systemd-poweroff.service,vendor,Power-Off,/bin/systemctl --force poweroff,,,,,,,,,,,,
systemd-quotacheck.service,service,/lib/systemd/system/systemd-quotacheck.service,vendor,File System Quota Check,/lib/systemd/systemd-quotacheck,,,,,,,,,,,,
systemd-random-seed.service,service,/lib/systemd/system/systemd-random-seed.service,vendor,Load/Save Random Seed,/lib/systemd/systemd-random-seed load,,,/lib/systemd/systemd-random-seed save,,,,,,,,,
systemd-reboot.service,service,/lib/systemd/system/systemd-reboot.service,vendor,Reboot,/bin/systemctl --force reboot,,,,,,,,,,,,
systemd-remount-fs.service,service,/lib/systemd/system/systemd-remount-fs.service,vendor,Remount Root and Kernel File Systems,/lib/systemd/systemd-remount-fs,,,,,,,,,,,,
systemd-resolved.service,service,/lib/systemd/system/systemd-resolved.service,vendor,Network Name Resolution,!!/lib/systemd/systemd-resolved,870,,,systemd-resolve,,,multi-user.target,,,,always,
systemd-rfkill.service,service,/lib/systemd/system/systemd-rfkill.service,vendor,Load/Save RF Kill Switch Status,/lib/systemd/systemd-rfkill,,,,,,,,,,,,
systemd-rfkill.socket,socket,/lib/systemd/system/systemd-rfkill.socket,vendor,Load/Save RF Kill Switch Status /dev/rfkill Watch,,,,,,,,,,,,,
systemd-suspend-then-hibernate.service,service,/lib/systemd/system/systemd-suspend-then-hibernate.service,vendor,Suspend; Idle into hibernate,/lib/systemd/systemd-sleep suspend-then-hibernate,,,,,,,,,,,,
systemd-suspend.service,service,/lib/systemd/system/systemd-suspend.service,vendor,Suspend,/lib/systemd/systemd-sleep suspend,,,,,,,,,,,,
systemd-sysctl.service,service,/lib/systemd/system/systemd-sysctl.service,vendor,Apply Kernel Variables,/lib/systemd/systemd-sysctl,,,,,,,,,,,,
systemd-timedated.service,service,/lib/systemd/system/systemd-timedated.service,vendor,Time & Date Service,/lib/systemd/systemd-timedated,,,,,,,,,,,,
systemd-timesyncd.service,service,/lib/systemd/system/systemd-timesyncd.service,vendor,Network Time Synchronization,!!/lib/systemd/systemd-timesyncd,702,,,systemd-timesync,,,sysinit.target,,,,always,
systemd-tmpfiles-clean.service,service,/lib/systemd/system/systemd-tmpfiles-clean.service,vendor,Cleanup of Temporary Directories,/bin/systemd-tmpfiles --clean,,,,,,,,,,,,
systemd-tmpfiles-clean.timer,timer,/lib/systemd/system/systemd-tmpfiles-clean.timer,vendor,Daily Cleanup of Temporary Directories,,,,,,,,,,,,,
systemd-tmpfiles-setup-dev.service,service,/lib/systemd/system/systemd-tmpfiles-setup-dev.service,vendor,Create Static Device Nodes in /dev,/bin/systemd-tmpfiles --prefix=/dev --create --boot,,,,,,,,,,,,
systemd-tmpfiles-setup.service,service,/lib/systemd/system/systemd-tmpfiles-setup.service,vendor,Create Volatile Files and Directories,/bin/systemd-tmpfiles --create --remove --boot --exclude-prefix=/dev,,,,,,,,,,,,
systemd-udev-settle.service,service,/lib/systemd/system/systemd-udev-settle.service,vendor,udev Wait for Complete Device Initialization,/bin/udevadm settle,,,,,,,,,,,,
systemd-udev-trigger.service,service,/lib/systemd/system/systemd-udev-trigger.service,vendor,udev Coldplug all Devices,/bin/udevadm trigger --type=subsystems --action=add ; /bin/udevadm trigger --type=devices --action=add,,,,,,,,,,,,
systemd-udevd-control.socket,socket,/lib/systemd/system/systemd-udevd-control.socket,vendor,udev Control Socket,,,,,,,,,,/run/udev/control,,,
systemd-udevd-kernel.socket,socket,/lib/systemd/system/systemd-udevd-kernel.socket,vendor,udev Kernel Socket,,,,,,,,,,,,,
systemd-udevd.service,service,/lib/systemd/system/systemd-udevd.service,vendor,udev Kernel Device Manager,/lib/systemd/systemd-udevd,457,,,,,,,,,,always,
systemd-update-utmp-runlevel.service,service,/lib/systemd/system/systemd-update-utmp-runlevel.service,vendor,Update UTMP about System Runlevel Changes,/lib/systemd/systemd-update-utmp runlevel,,,,,,,,,,,,
systemd-update-utmp.service,service,/lib/systemd/system/systemd-update-utmp.service,vendor,Update UTMP about System Boot/Shutdown,/lib/systemd/systemd-update-utmp reboot,,,/lib/systemd/systemd-update-utmp shutdown,,,,,,,,,
systemd-user-sessions.service,service,/lib/systemd/system/systemd-user-sessions.service,vendor,Permit User Sessions,/lib/systemd/systemd-user-sessions start,,,/lib/systemd/systemd-user-sessions stop,,,,,,,,,
systemd-volatile-root.service,service,/lib/systemd/system/systemd-volatile-root.service,vendor,Enforce Volatile Root File Systems,/lib/systemd/systemd-volatile-root yes /sysroot,,,,,,,,,,,,
time-sync.target,target,/lib/systemd/system/time-sync.target,vendor,System Time Synchronized,,,,,,,,,,,,,
timers.target,target,/lib/systemd/system/timers.target,vendor,Timers,,,,,,,,,,,,,
ua-messaging.service,service,/lib/systemd/system/ua-messaging.service,vendor,Ubuntu Advantage APT and MOTD Messages,/usr/bin/python3 /usr/lib/ubuntu-advantage/ua_update_messaging.py,27371,,,,,,,,,,,
ua-messaging.timer,timer,/lib/systemd/system/ua-messaging.timer,vendor,Ubuntu Advantage update messaging,,,,,,,,timers.target,,,,,
ua-reboot-cmds.service,service,/lib/systemd/system/ua-reboot-cmds.service,vendor,Ubuntu Advantage reboot cmds,/usr/bin/python3 /usr/lib/ubuntu-advantage/reboot_cmds.py,27371,,,,,,multi-user.target,,,,,
ufw.service,service,/lib/systemd/system/ufw.service,vendor,Uncomplicated firewall,/lib/ufw/ufw-init start quiet,,,/lib/ufw/ufw-init stop,,,,multi-user.target,,,,,
umount.target,target,/lib/systemd/system/umount.target,vendor,Unmount All Filesystems,,,,,,,,,,,,,
unattended-upgrades.service,service,/lib/systemd/system/unattended-upgrades.service,vendor,Unattended Upgrades Shutdown,/usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal,,,,,,,multi-user.target,,,,,
ureadahead-stop.service,service,/lib/systemd/system/ureadahead-stop.service,vendor,Stop ureadahead data collection,/bin/systemctl --no-block stop ureadahead,,,,,,,,,,,,
ureadahead-stop.timer,timer,/lib/systemd/system/ureadahead-stop.timer,vendor,Stop ureadahead data collection 45s after completed startup,,,,,,,,,,,,,
ureadahead.service,service,/lib/systemd/system/ureadahead.service,vendor,Read required files in advance,/sbin/ureadahead -q,,,,,,,default.target,,,,,
user.slice,slice,/lib/systemd/system/user.slice,vendor,User and Session Slice,,,,,,,,,,,,,
user@.service,service,/lib/systemd/system/user@.service,vendor,User Manager for UID %i,-/lib/systemd/systemd --user,"1,602,603",,,%i,,,,,,,,
user@.service,service,/lib/systemd/system/user@.service.d/timeout.conf,vendor drop-in,,,,,,,,,,,,,,
uuidd.service,service,/lib/systemd/system/uuidd.service,vendor,Daemon for generating UUIDs,/usr/sbin/uuidd --socket-activation,,,,uuidd,,,,,,,no,
uuidd.socket,socket,/lib/systemd/system/uuidd.socket,vendor,UUID daemon activation socket,,,,,,,,sockets.target,,/run/uuidd/request,,,
vgauth.service,service,/lib/systemd/system/vgauth.service,vendor,Authentication service for virtual machines hosted on VMware,/usr/bin/VGAuthService,,,,,,,,open-vm-tools.service,,,,
walinuxagent-network-setup.service,service,/lib/systemd/system/walinuxagent-network-setup.service,vendor,Setup network rules for WALinuxAgent,/usr/bin/python3 /var/lib/waagent/waagent-network-setup.py,27371,,,,,,network.target,,,,,
walinuxagent.service,service,/lib/systemd/system/walinuxagent.service,vendor,Azure Linux Agent,/usr/bin/python3 -u /usr/sbin/waagent -daemon,27371,,,,,,multi-user.target,,,,always,
walinuxagent.service,service,/lib/systemd/system/walinuxagent.service.d/10-Slice.conf,vendor drop-in,,,,,,,,,,,,,,
walinuxagent.service,service,/lib/systemd/system/walinuxagent.service.d/11-CPUAccounting.conf,vendor drop-in,,,,,,,,,,,,,,
walinuxagent.service,service,/lib/systemd/system/walinuxagent.service.d/12-CPUQuota.conf,vendor drop-in,,,,,,,,,,,,,,
