rule,level,product,service_or_category,applicable,why_not,tables_checked,rows_matched,rule_id,rule_file
Screen Capture with Import Tool,low,linux,auditd,no,no table here carries 'auditd' data,,0,dbe4b9c5-c254-4258-9688-d6af0b7967fd,sigma-rules/rules\linux\auditd\execve\lnx_auditd_screencapture_import.yml
Screen Capture with Xwd,low,linux,auditd,no,no table here carries 'auditd' data,,0,e2f17c5d-b02a-442b-9052-6eb89c9fec9c,sigma-rules/rules\linux\auditd\execve\lnx_auditd_screencaputre_xwd.yml
Steganography Hide Files with Steghide,low,linux,auditd,no,no table here carries 'auditd' data,,0,ce446a9e-30b9-4483-8e38-d2c9ad0a2280,sigma-rules/rules\linux\auditd\execve\lnx_auditd_steghide_embed_steganography.yml
Steganography Extract Files with Steghide,low,linux,auditd,no,no table here carries 'auditd' data,,0,a5a827d9-1bbe-4952-9293-c59d897eb41b,sigma-rules/rules\linux\auditd\execve\lnx_auditd_steghide_extract_steganography.yml
Suspicious Commands Linux,medium,linux,auditd,no,no table here carries 'auditd' data,,0,1543ae20-cbdf-4ec1-8d12-7664d667a825,sigma-rules/rules\linux\auditd\execve\lnx_auditd_susp_cmds.yml
Suspicious History File Operations - Linux,medium,linux,auditd,no,no table here carries 'auditd' data,,0,eae8ce9f-bde9-47a6-8e79-f20d18419910,sigma-rules/rules\linux\auditd\execve\lnx_auditd_susp_histfile_operations.yml
Service Reload or Start - Linux,low,linux,auditd,no,no table here carries 'auditd' data,,0,2625cc59-0634-40d0-821e-cb67382a3dd7,sigma-rules/rules\linux\auditd\execve\lnx_auditd_susp_service_reload_or_restart.yml
System Shutdown/Reboot - Linux,informational,linux,auditd,no,no table here carries 'auditd' data,,0,4cb57c2f-1f29-41f8-893d-8bed8e1c1d2f,sigma-rules/rules\linux\auditd\execve\lnx_auditd_system_shutdown_reboot.yml
Steganography Unzip Hidden Information From Picture File,low,linux,auditd,no,no table here carries 'auditd' data,,0,edd595d7-7895-4fa7-acb3-85a18a8772ca,sigma-rules/rules\linux\auditd\execve\lnx_auditd_unzip_hidden_zip_files_steganography.yml
System Owner or User Discovery - Linux,low,linux,auditd,no,no table here carries 'auditd' data,,0,9a0d8ca0-2385-4020-b6c6-cb6153ca56f3,sigma-rules/rules\linux\auditd\execve\lnx_auditd_user_discovery.yml
Audio Capture,low,linux,auditd,no,no table here carries 'auditd' data,,0,a7af2487-9c2f-42e4-9bb9-ff961f0561d5,sigma-rules/rules\linux\auditd\lnx_auditd_audio_capture.yml
ASLR Disabled Via Sysctl or Direct Syscall - Linux,high,linux,auditd,no,no table here carries 'auditd' data,,0,e497a24e-9345-4a62-9803-b06d7d7cb132,sigma-rules/rules\linux\auditd\lnx_auditd_disable_aslr_protection.yml
Linux Keylogging with Pam.d,high,linux,auditd,no,no table here carries 'auditd' data,,0,49aae26c-450e-448b-911d-b3c13d178dfc,sigma-rules/rules\linux\auditd\lnx_auditd_keylogging_with_pam_d.yml
Password Policy Discovery - Linux,low,linux,auditd,no,no table here carries 'auditd' data,,0,ca94a6db-8106-4737-9ed2-3e3bb826af0a,sigma-rules/rules\linux\auditd\lnx_auditd_password_policy_discovery.yml
Suspicious C2 Activities,medium,linux,auditd,no,no table here carries 'auditd' data,,0,f7158a64-6204-4d6d-868a-6e6378b467e0,sigma-rules/rules\linux\auditd\lnx_auditd_susp_c2_commands.yml
System Information Discovery - Auditd,low,linux,auditd,no,no table here carries 'auditd' data,,0,f34047d9-20d3-4e8b-8672-0a35cc50dc71,sigma-rules/rules\linux\auditd\lnx_auditd_system_info_discovery.yml
Auditing Configuration Changes on Linux Host,high,linux,auditd,no,no table here carries 'auditd' data,,0,977ef627-4539-4875-adf4-ed8f780c4922,sigma-rules/rules\linux\auditd\path\lnx_auditd_auditing_config_change.yml
BPFDoor Abnormal Process ID or Lock File Accessed,high,linux,auditd,no,no table here carries 'auditd' data,,0,808146b2-9332-4d78-9416-d7e47012d83d,sigma-rules/rules\linux\auditd\path\lnx_auditd_bpfdoor_file_accessed.yml
Use Of Hidden Paths Or Files,low,linux,auditd,no,no table here carries 'auditd' data,,0,9e1bef8d-0fff-46f6-8465-9aa54e128c1e,sigma-rules/rules\linux\auditd\path\lnx_auditd_hidden_binary_execution.yml
Modification of ld.so.preload,high,linux,auditd,no,no table here carries 'auditd' data,,0,4b3cb710-5e83-4715-8c45-8b2b5b3e5751,sigma-rules/rules\linux\auditd\path\lnx_auditd_ld_so_preload_mod.yml
Logging Configuration Changes on Linux Host,high,linux,auditd,no,no table here carries 'auditd' data,,0,c830f15d-6f6e-430f-8074-6f73d6807841,sigma-rules/rules\linux\auditd\path\lnx_auditd_logging_config_change.yml
Potential Abuse of Linux Magic System Request Key,medium,linux,auditd,no,no table here carries 'auditd' data,,0,ea61bb82-a5e0-42e6-8537-91d29500f1b9,sigma-rules/rules\linux\auditd\path\lnx_auditd_magic_system_request_key.yml
System and Hardware Information Discovery,informational,linux,auditd,no,no table here carries 'auditd' data,,0,1f358e2e-cb63-43c3-b575-dfb072a6814f,sigma-rules/rules\linux\auditd\path\lnx_auditd_system_info_discovery2.yml
Systemd Service Creation,medium,linux,auditd,no,no table here carries 'auditd' data,,0,1bac86ba-41aa-4f62-9d6b-405eac99b485,sigma-rules/rules\linux\auditd\path\lnx_auditd_systemd_service_creation.yml
Unix Shell Configuration Modification,medium,linux,auditd,no,no table here carries 'auditd' data,,0,a94cdd87-6c54-4678-a6cc-2814ffe5a13d,sigma-rules/rules\linux\auditd\path\lnx_auditd_unix_shell_configuration_modification.yml
Disable System Firewall,high,linux,auditd,no,no table here carries 'auditd' data,,0,53059bc0-1472-438b-956a-7508a94a91f0,sigma-rules/rules\linux\auditd\service_stop\lnx_auditd_disable_system_firewall.yml
Clear or Disable Kernel Ring Buffer Logs via Syslog Syscall,medium,linux,auditd,no,no table here carries 'auditd' data,,0,eca5e022-d368-4043-98e5-9736fb01f72f,sigma-rules/rules\linux\auditd\syscall\lnx_auditd_clean_disable_dmesg_logs_via_syslog.yml
Creation Of An User Account,medium,linux,auditd,no,no table here carries 'auditd' data,,0,759d0d51-bc99-4b5e-9add-8f5b2c8e7512,sigma-rules/rules\linux\auditd\syscall\lnx_auditd_create_account.yml
Loading of Kernel Module via Insmod,high,linux,auditd,no,no table here carries 'auditd' data,,0,106d7cbd-80ff-4985-b682-a7043e5acb72,sigma-rules/rules\linux\auditd\syscall\lnx_auditd_load_module_insmod.yml
Linux Network Service Scanning - Auditd,low,linux,auditd,no,no table here carries 'auditd' data,,0,3761e026-f259-44e6-8826-719ed8079408,sigma-rules/rules\linux\auditd\syscall\lnx_auditd_network_service_scanning.yml
Split A File Into Pieces - Linux,low,linux,auditd,no,no table here carries 'auditd' data,,0,2dad0cba-c62a-4a4f-949f-5f6ecd619769,sigma-rules/rules\linux\auditd\syscall\lnx_auditd_split_file_into_pieces.yml
System Info Discovery via Sysinfo Syscall,low,linux,auditd,no,no table here carries 'auditd' data,,0,b207d563-a1d9-4275-b349-77d1eb55aa6d,sigma-rules/rules\linux\auditd\syscall\lnx_auditd_susp_discovery_sysinfo_syscall.yml
Program Executions in Suspicious Folders,medium,linux,auditd,no,no table here carries 'auditd' data,,0,a39d7fa7-3fbd-4dc2-97e1-d87f546b1bbc,sigma-rules/rules\linux\auditd\syscall\lnx_auditd_susp_exe_folders.yml
Special File Creation via Mknod Syscall,low,linux,auditd,no,no table here carries 'auditd' data,,0,710bdbce-495d-491d-9a8f-7d0d88d2b41e,sigma-rules/rules\linux\auditd\syscall\lnx_auditd_susp_special_file_creation_via_mknod_syscall.yml
Webshell Remote Command Execution,critical,linux,auditd,no,no table here carries 'auditd' data,,0,c0d3734d-330f-4a03-aae2-65dacc6a8222,sigma-rules/rules\linux\auditd\syscall\lnx_auditd_web_rce.yml
Relevant ClamAV Message,high,linux,clamav,no,no table here carries 'clamav' data,,0,36aa86ca-fd9d-4456-814e-d3b1b8e1e0bb,sigma-rules/rules\linux\builtin\clamav\lnx_clamav_relevant_message.yml
Modifying Crontab,medium,linux,cron,yes,,"VAR_LOG, CRON",201,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Guacamole Two Users Sharing Session Anomaly,high,linux,guacamole,no,no table here carries 'guacamole' data,,0,1edd77db-0669-4fef-9598-165bda82826d,sigma-rules/rules\linux\builtin\guacamole\lnx_guacamole_susp_guacamole.yml
Equation Group Indicators,high,linux,,yes,,"PROCESSES, PROCESS_MASTER, AUTH_LOG, FAILED_LOGINS, PRIVILEGE_ACTIVITY, JOURNAL, VAR_LOG, CRON, WEB_LOG, SHELL_HISTORY, SYSTEMD_UNITS, KERNEL_MODULES, SOCKETS",0,41e5c73d-9983-4b69-bd03-e13b67e9623c,sigma-rules/rules\linux\builtin\lnx_apt_equationgroup_lnx.yml
Buffer Overflow Attempts,high,linux,,yes,,"PROCESSES, PROCESS_MASTER, AUTH_LOG, FAILED_LOGINS, PRIVILEGE_ACTIVITY, JOURNAL, VAR_LOG, CRON, WEB_LOG, SHELL_HISTORY, SYSTEMD_UNITS, KERNEL_MODULES, SOCKETS",0,18b042f0-2ecd-4b6e-9f8d-aa7a7e7de781,sigma-rules/rules\linux\builtin\lnx_buffer_overflows.yml
Commands to Clear or Remove the Syslog - Builtin,high,linux,,yes,,"PROCESSES, PROCESS_MASTER, AUTH_LOG, FAILED_LOGINS, PRIVILEGE_ACTIVITY, JOURNAL, VAR_LOG, CRON, WEB_LOG, SHELL_HISTORY, SYSTEMD_UNITS, KERNEL_MODULES, SOCKETS",0,e09eb557-96d2-4de9-ba2d-30f712a5afd3,sigma-rules/rules\linux\builtin\lnx_clear_syslog.yml
Remote File Copy,low,linux,,yes,,"PROCESSES, PROCESS_MASTER, AUTH_LOG, FAILED_LOGINS, PRIVILEGE_ACTIVITY, JOURNAL, VAR_LOG, CRON, WEB_LOG, SHELL_HISTORY, SYSTEMD_UNITS, KERNEL_MODULES, SOCKETS",219,7a14080d-a048-4de8-ae58-604ce58a795b,sigma-rules/rules\linux\builtin\lnx_file_copy.yml
Code Injection by ld.so Preload,high,linux,,yes,,"PROCESSES, PROCESS_MASTER, AUTH_LOG, FAILED_LOGINS, PRIVILEGE_ACTIVITY, JOURNAL, VAR_LOG, CRON, WEB_LOG, SHELL_HISTORY, SYSTEMD_UNITS, KERNEL_MODULES, SOCKETS",202,7e3c4651-c347-40c4-b1d4-d48590fdf684,sigma-rules/rules\linux\builtin\lnx_ldso_preload_injection.yml
Potential Suspicious BPF Activity - Linux,high,linux,,yes,,"PROCESSES, PROCESS_MASTER, AUTH_LOG, FAILED_LOGINS, PRIVILEGE_ACTIVITY, JOURNAL, VAR_LOG, CRON, WEB_LOG, SHELL_HISTORY, SYSTEMD_UNITS, KERNEL_MODULES, SOCKETS",0,0fadd880-6af3-4610-b1e5-008dc3a11b8a,sigma-rules/rules\linux\builtin\lnx_potential_susp_ebpf_activity.yml
Privileged User Has Been Created,high,linux,,yes,,"PROCESSES, PROCESS_MASTER, AUTH_LOG, FAILED_LOGINS, PRIVILEGE_ACTIVITY, JOURNAL, VAR_LOG, CRON, WEB_LOG, SHELL_HISTORY, SYSTEMD_UNITS, KERNEL_MODULES, SOCKETS",0,0ac15ec3-d24f-4246-aa2a-3077bb1cf90e,sigma-rules/rules\linux\builtin\lnx_privileged_user_creation.yml
Linux Command History Tampering,high,linux,,yes,,"PROCESSES, PROCESS_MASTER, AUTH_LOG, FAILED_LOGINS, PRIVILEGE_ACTIVITY, JOURNAL, VAR_LOG, CRON, WEB_LOG, SHELL_HISTORY, SYSTEMD_UNITS, KERNEL_MODULES, SOCKETS",0,fdc88d25-96fb-4b7c-9633-c0e417fdbd4e,sigma-rules/rules\linux\builtin\lnx_shell_clear_cmd_history.yml
Suspicious Activity in Shell Commands,high,linux,,yes,,"PROCESSES, PROCESS_MASTER, AUTH_LOG, FAILED_LOGINS, PRIVILEGE_ACTIVITY, JOURNAL, VAR_LOG, CRON, WEB_LOG, SHELL_HISTORY, SYSTEMD_UNITS, KERNEL_MODULES, SOCKETS",22,2aa1440c-9ae9-4d92-84a7-a9e5f5e31695,sigma-rules/rules\linux\builtin\lnx_shell_susp_commands.yml
Suspicious Log Entries,medium,linux,,yes,,"PROCESSES, PROCESS_MASTER, AUTH_LOG, FAILED_LOGINS, PRIVILEGE_ACTIVITY, JOURNAL, VAR_LOG, CRON, WEB_LOG, SHELL_HISTORY, SYSTEMD_UNITS, KERNEL_MODULES, SOCKETS",0,f64b6e9a-5d9d-48a5-8289-e1dd2b3876e1,sigma-rules/rules\linux\builtin\lnx_shell_susp_log_entries.yml
Suspicious Reverse Shell Command Line,high,linux,,yes,,"PROCESSES, PROCESS_MASTER, AUTH_LOG, FAILED_LOGINS, PRIVILEGE_ACTIVITY, JOURNAL, VAR_LOG, CRON, WEB_LOG, SHELL_HISTORY, SYSTEMD_UNITS, KERNEL_MODULES, SOCKETS",9,738d9bcf-6999-4fdb-b4ac-3033037db8ab,sigma-rules/rules\linux\builtin\lnx_shell_susp_rev_shells.yml
Shellshock Expression,high,linux,,yes,,"PROCESSES, PROCESS_MASTER, AUTH_LOG, FAILED_LOGINS, PRIVILEGE_ACTIVITY, JOURNAL, VAR_LOG, CRON, WEB_LOG, SHELL_HISTORY, SYSTEMD_UNITS, KERNEL_MODULES, SOCKETS",6,c67e0c98-4d39-46ee-8f6b-437ebf6b950e,sigma-rules/rules\linux\builtin\lnx_shellshock.yml
Suspicious Use of /dev/tcp,medium,linux,,yes,,"PROCESSES, PROCESS_MASTER, AUTH_LOG, FAILED_LOGINS, PRIVILEGE_ACTIVITY, JOURNAL, VAR_LOG, CRON, WEB_LOG, SHELL_HISTORY, SYSTEMD_UNITS, KERNEL_MODULES, SOCKETS",13,6cc5fceb-9a71-4c23-aeeb-963abe0b279c,sigma-rules/rules\linux\builtin\lnx_susp_dev_tcp.yml
JexBoss Command Sequence,high,linux,,no,no table here has the fields this rule reads,,0,8ec2c8b4-557a-4121-b87c-5dfb3a602fae,sigma-rules/rules\linux\builtin\lnx_susp_jexboss.yml
Symlink Etc Passwd,high,linux,,yes,,"PROCESSES, PROCESS_MASTER, AUTH_LOG, FAILED_LOGINS, PRIVILEGE_ACTIVITY, JOURNAL, VAR_LOG, CRON, WEB_LOG, SHELL_HISTORY, SYSTEMD_UNITS, KERNEL_MODULES, SOCKETS",0,c67fc22a-0be5-4b4f-aad5-2b32c4b69523,sigma-rules/rules\linux\builtin\lnx_symlink_etc_passwd.yml
Suspicious OpenSSH Daemon Error,medium,linux,sshd,yes,,"AUTH_LOG, FAILED_LOGINS",0,e76b413a-83d0-4b94-8e4c-85db4a5b8bdc,sigma-rules/rules\linux\builtin\sshd\lnx_sshd_susp_ssh.yml
Disabling Security Tools - Builtin,medium,linux,syslog,yes,,"AUTH_LOG, JOURNAL, VAR_LOG",0,49f5dfc1-f92e-4d34-96fa-feba3f6acf36,sigma-rules/rules\linux\builtin\syslog\lnx_syslog_security_tools_disabling_syslog.yml
Suspicious Named Error,high,linux,syslog,yes,,"AUTH_LOG, JOURNAL, VAR_LOG",0,c8e35e96-19ce-4f16-aeb6-fd5588dc5365,sigma-rules/rules\linux\builtin\syslog\lnx_syslog_susp_named.yml
Suspicious VSFTPD Error Messages,medium,linux,vsftpd,no,no table here carries 'vsftpd' data,,0,377f33a1-4b36-4ee1-acee-1dbe4b43cfbe,sigma-rules/rules\linux\builtin\vsftpd\lnx_vsftpd_susp_error_messages.yml
Linux Doas Conf File Creation,medium,linux,file_event,no,no table here carries 'file_event' data,,0,00eee2a5-fdb0-4746-a21d-e43fbdea5681,sigma-rules/rules\linux\file_event\file_event_lnx_doas_conf_creation.yml
Persistence Via Sudoers.d Files,medium,linux,file_event,no,no table here carries 'file_event' data,,0,ddb26b76-4447-4807-871f-1b035b2bfa5d,sigma-rules/rules\linux\file_event\file_event_lnx_persistence_sudoers_files.yml
New Cron File Created,low,linux,file_event,no,no table here carries 'file_event' data,,0,6c4e2f43-d94d-4ead-b64d-97e53fa2bd05,sigma-rules/rules\linux\file_event\file_event_lnx_susp_cron_file_created.yml
Suspicious Filename with Embedded Base64 Commands,high,linux,file_event,no,no table here carries 'file_event' data,,0,179b3686-6271-4d87-807d-17d843a8af73,sigma-rules/rules\linux\file_event\file_event_lnx_susp_filename_with_embedded_base64_command.yml
Potentially Suspicious Shell Script Creation in Profile Folder,low,linux,file_event,no,no table here carries 'file_event' data,,0,13f08f54-e705-4498-91fd-cce9d9cee9f1,sigma-rules/rules\linux\file_event\file_event_lnx_susp_shell_script_under_profile_directory.yml
Triple Cross eBPF Rootkit Default LockFile,high,linux,file_event,no,no table here carries 'file_event' data,,0,c0239255-822c-4630-b7f1-35362bcb8f44,sigma-rules/rules\linux\file_event\file_event_lnx_triple_cross_rootkit_lock_file.yml
Triple Cross eBPF Rootkit Default Persistence,high,linux,file_event,no,no table here carries 'file_event' data,,0,1a2ea919-d11d-4d1e-8535-06cda13be20f,sigma-rules/rules\linux\file_event\file_event_lnx_triple_cross_rootkit_persistence.yml
Wget Creating Files in Tmp Directory,medium,linux,file_event,no,no table here carries 'file_event' data,,0,35a05c60-9012-49b6-a11f-6bab741c9f74,sigma-rules/rules\linux\file_event\file_event_lnx_wget_download_file_in_tmp_dir.yml
Linux Reverse Shell Indicator,critical,linux,network_connection,yes,,SOCKETS,0,83dcd9f6-9ca8-4af7-a16e-a1c7a6b51871,sigma-rules/rules\linux\network_connection\net_connection_lnx_back_connect_shell_dev.yml
Linux Crypto Mining Pool Connections,high,linux,network_connection,no,no table here has the fields this rule reads,,0,a46c93b7-55ed-4d27-a41b-c259456c4746,sigma-rules/rules\linux\network_connection\net_connection_lnx_crypto_mining_indicators.yml
Communication To LocaltoNet Tunneling Service Initiated - Linux,high,linux,network_connection,no,no table here has the fields this rule reads,,0,c4568f5d-131f-4e78-83d4-45b2da0ec4f1,sigma-rules/rules\linux\network_connection\net_connection_lnx_domain_localtonet_tunnel.yml
Communication To Ngrok Tunneling Service - Linux,high,linux,network_connection,no,no table here has the fields this rule reads,,0,19bf6fdb-7721-4f3d-867f-53467f6a5db6,sigma-rules/rules\linux\network_connection\net_connection_lnx_ngrok_tunnel.yml
Shell Invocation via Apt - Linux,medium,linux,process_creation,yes,,PROCESSES,0,bb382fd5-b454-47ea-a264-1828e4c766d6,sigma-rules/rules\linux\process_creation\proc_creation_lnx_apt_shell_execution.yml
Scheduled Task/Job At,low,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",2,d2d642d7-b393-43fe-bae4-e81ed5915c4b,sigma-rules/rules\linux\process_creation\proc_creation_lnx_at_command.yml
Audit Rules Deleted Via Auditctl,high,linux,process_creation,yes,,PROCESSES,0,bed26dea-4525-47f4-b24a-76e30e44ffb0,sigma-rules/rules\linux\process_creation\proc_creation_lnx_auditctl_clear_rules.yml
Kaspersky Endpoint Security Stopped Via CommandLine - Linux,high,linux,process_creation,yes,,PROCESSES,0,36388120-b3f1-4ce9-b50b-280d9a7f4c04,sigma-rules/rules\linux\process_creation\proc_creation_lnx_av_kaspersky_av_disabled.yml
Suspicious Invocation of Shell via AWK - Linux,high,linux,process_creation,yes,,PROCESSES,0,8c1a5675-cb85-452f-a298-b01b22a51856,sigma-rules/rules\linux\process_creation\proc_creation_lnx_awk_shell_spawn.yml
Decode Base64 Encoded Text,low,linux,process_creation,yes,,PROCESSES,0,e2072cab-8c9a-459b-b63c-40ae79e27031,sigma-rules/rules\linux\process_creation\proc_creation_lnx_base64_decode.yml
Linux Base64 Encoded Pipe to Shell,medium,linux,process_creation,yes,,PROCESSES,0,ba592c6d-6888-43c3-b8c6-689b8fe47337,sigma-rules/rules\linux\process_creation\proc_creation_lnx_base64_execution.yml
Linux Base64 Encoded Shebang In CLI,medium,linux,process_creation,yes,,PROCESSES,0,fe2f9663-41cb-47e2-b954-8a228f3b9dff,sigma-rules/rules\linux\process_creation\proc_creation_lnx_base64_shebang_cli.yml
Bash Interactive Shell,low,linux,process_creation,yes,,PROCESSES,0,6104e693-a7d6-4891-86cb-49a258523559,sigma-rules/rules\linux\process_creation\proc_creation_lnx_bash_interactive_shell.yml
Enable BPF Kprobes Tracing,medium,linux,process_creation,yes,,PROCESSES,0,7692f583-bd30-4008-8615-75dab3f08a99,sigma-rules/rules\linux\process_creation\proc_creation_lnx_bpf_kprob_tracing_enabled.yml
BPFtrace Unsafe Option Usage,medium,linux,process_creation,yes,,PROCESSES,0,f8341cb2-ee25-43fa-a975-d8a5a9714b39,sigma-rules/rules\linux\process_creation\proc_creation_lnx_bpftrace_unsafe_option_usage.yml
Linux Setgid Capability Set on a Binary via Setcap Utility,low,linux,process_creation,yes,,PROCESSES,0,3a716279-c18c-4488-83be-f9ececbfb9fc,sigma-rules/rules\linux\process_creation\proc_creation_lnx_cap_setgid.yml
Linux Setuid Capability Set on a Binary via Setcap Utility,low,linux,process_creation,yes,,PROCESSES,0,ed447910-bc30-4575-a598-3a2e49516a7a,sigma-rules/rules\linux\process_creation\proc_creation_lnx_cap_setuid.yml
Capabilities Discovery - Linux,low,linux,process_creation,yes,,PROCESSES,0,d8d97d51-122d-4cdd-9e2f-01b4b4933530,sigma-rules/rules\linux\process_creation\proc_creation_lnx_capa_discovery.yml
Capsh Shell Invocation - Linux,high,linux,process_creation,yes,,PROCESSES,0,db1ac3be-f606-4e3a-89e0-9607cbe6b98a,sigma-rules/rules\linux\process_creation\proc_creation_lnx_capsh_shell_invocation.yml
Remove Immutable File Attribute,medium,linux,process_creation,yes,,PROCESSES,0,34979410-e4b5-4e5d-8cfb-389fdff05c12,sigma-rules/rules\linux\process_creation\proc_creation_lnx_chattr_immutable_removal.yml
Chmod Targeting Sensitive Directories,medium,linux,process_creation,yes,,PROCESSES,0,6419afd1-3742-47a5-a7e6-b50386cd15f8,sigma-rules/rules\linux\process_creation\proc_creation_lnx_chmod_targeting_sensitive_directories.yml
Linux Sudo Chroot Execution,low,linux,process_creation,yes,,PROCESSES,0,f2bed782-994e-4f40-9cd5-518198cb3fba,sigma-rules/rules\linux\process_creation\proc_creation_lnx_chroot_execution.yml
Linux Logs Clearing Attempts,medium,linux,process_creation,yes,,PROCESSES,0,80915f59-9b56-4616-9de0-fd0dea6c12fe,sigma-rules/rules\linux\process_creation\proc_creation_lnx_clear_logs.yml
Syslog Clearing or Removal Via System Utilities,high,linux,process_creation,yes,,PROCESSES,0,3fcc9b35-39e4-44c0-a2ad-9e82b6902b31,sigma-rules/rules\linux\process_creation\proc_creation_lnx_clear_syslog.yml
Clipboard Collection with Xclip Tool,low,linux,process_creation,yes,,PROCESSES,0,ec127035-a636-4b9a-8555-0efd4e59f316,sigma-rules/rules\linux\process_creation\proc_creation_lnx_clipboard_collection.yml
Copy Passwd Or Shadow From TMP Path,high,linux,process_creation,yes,,PROCESSES,0,fa4aaed5-4fe0-498d-bbc0-08e3346387ba,sigma-rules/rules\linux\process_creation\proc_creation_lnx_cp_passwd_or_shadow_tmp.yml
Crontab Enumeration,low,linux,process_creation,yes,,PROCESSES,0,403ed92c-b7ec-4edd-9947-5b535ee12d46,sigma-rules/rules\linux\process_creation\proc_creation_lnx_crontab_enumeration.yml
Remove Scheduled Cron Task/Job,medium,linux,process_creation,yes,,PROCESSES,0,c2e234de-03a3-41e1-b39a-1e56dc17ba67,sigma-rules/rules\linux\process_creation\proc_creation_lnx_crontab_removal.yml
Linux Crypto Mining Indicators,high,linux,process_creation,yes,,PROCESSES,0,9069ea3c-b213-4c52-be13-86506a227ab1,sigma-rules/rules\linux\process_creation\proc_creation_lnx_crypto_mining.yml
Curl Usage on Linux,low,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",0,ea34fb97-e2c4-4afb-810f-785e4459b194,sigma-rules/rules\linux\process_creation\proc_creation_lnx_curl_usage.yml
Suspicious Download and Execute Pattern via Curl/Wget,high,linux,process_creation,yes,,PROCESSES,0,a2d9e2f3-0f43-4c7a-bcd9-9acfc0d723aa,sigma-rules/rules\linux\process_creation\proc_creation_lnx_curl_wget_exec_tmp.yml
DD File Overwrite,low,linux,process_creation,yes,,PROCESSES,0,2953194b-e33c-4859-b9e8-05948c167447,sigma-rules/rules\linux\process_creation\proc_creation_lnx_dd_file_overwrite.yml
Potential Linux Process Code Injection Via DD Utility,medium,linux,process_creation,yes,,PROCESSES,0,4cad6c64-d6df-42d6-8dae-eb78defdc415,sigma-rules/rules\linux\process_creation\proc_creation_lnx_dd_process_injection.yml
UFW Disable Attempt,medium,linux,process_creation,yes,,PROCESSES,0,84c9e83c-599a-458a-a0cb-0ecce44e807a,sigma-rules/rules\linux\process_creation\proc_creation_lnx_disable_ufw.yml
Linux Doas Tool Execution,low,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",0,067d8238-7127-451c-a9ec-fa78045b618b,sigma-rules/rules\linux\process_creation\proc_creation_lnx_doas_execution.yml
Shell Invocation via Env Command - Linux,high,linux,process_creation,yes,,PROCESSES,0,bed978f8-7f3a-432b-82c5-9286a9b3031a,sigma-rules/rules\linux\process_creation\proc_creation_lnx_env_shell_invocation.yml
ESXi Network Configuration Discovery Via ESXCLI,medium,linux,process_creation,yes,,PROCESSES,0,33e814e0-1f00-4e43-9c34-31fb7ae2b174,sigma-rules/rules\linux\process_creation\proc_creation_lnx_esxcli_network_discovery.yml
ESXi Admin Permission Assigned To Account Via ESXCLI,high,linux,process_creation,yes,,PROCESSES,0,9691f58d-92c1-4416-8bf3-2edd753ec9cf,sigma-rules/rules\linux\process_creation\proc_creation_lnx_esxcli_permission_change_admin.yml
ESXi Storage Information Discovery Via ESXCLI,medium,linux,process_creation,yes,,PROCESSES,0,f41dada5-3f56-4232-8503-3fb7f9cf2d60,sigma-rules/rules\linux\process_creation\proc_creation_lnx_esxcli_storage_discovery.yml
ESXi Syslog Configuration Change Via ESXCLI,medium,linux,process_creation,yes,,PROCESSES,0,38eb1dbb-011f-40b1-a126-cf03a0210563,sigma-rules/rules\linux\process_creation\proc_creation_lnx_esxcli_syslog_config_change.yml
ESXi System Information Discovery Via ESXCLI,medium,linux,process_creation,yes,,PROCESSES,0,e80273e1-9faf-40bc-bd85-dbaff104c4e9,sigma-rules/rules\linux\process_creation\proc_creation_lnx_esxcli_system_discovery.yml
ESXi Account Creation Via ESXCLI,medium,linux,process_creation,yes,,PROCESSES,0,b28e4eb3-8bbc-4f0c-819f-edfe8e2f25db,sigma-rules/rules\linux\process_creation\proc_creation_lnx_esxcli_user_account_creation.yml
ESXi VM List Discovery Via ESXCLI,medium,linux,process_creation,yes,,PROCESSES,0,5f1573a7-363b-4114-9208-ad7a61de46eb,sigma-rules/rules\linux\process_creation\proc_creation_lnx_esxcli_vm_discovery.yml
ESXi VM Kill Via ESXCLI,medium,linux,process_creation,yes,,PROCESSES,0,2992ac4d-31e9-4325-99f2-b18a73221bb2,sigma-rules/rules\linux\process_creation\proc_creation_lnx_esxcli_vm_kill.yml
ESXi VSAN Information Discovery Via ESXCLI,medium,linux,process_creation,yes,,PROCESSES,0,d54c2f06-aca9-4e2b-81c9-5317858f4b79,sigma-rules/rules\linux\process_creation\proc_creation_lnx_esxcli_vsan_discovery.yml
File and Directory Discovery - Linux,informational,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",0,d3feb4ee-ff1d-4d3d-bd10-5b28a238cc72,sigma-rules/rules\linux\process_creation\proc_creation_lnx_file_and_directory_discovery.yml
File Deletion,informational,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",0,30aed7b6-d2c1-4eaf-9382-b6bc43e50c57,sigma-rules/rules\linux\process_creation\proc_creation_lnx_file_deletion.yml
